merge_key,field,chosen_value,alternative_values,source_files
2000|audi|ttquattro|turbo18,oil_capacity,4.5 liters with filter,4.5 liters with filter || 4.8 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|audi|tt|turbo18,oil_capacity,4.5 liters with filter,4.5 liters with filter || 4.8 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|323ci|25,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|323i|25,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|328ci|28,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|328i|28,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|528it|28,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|528i|28,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|540i|44,oil_capacity,7.5 liters with filter,7.5 liters with filter || 7.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|740il|44,oil_capacity,7.5 liters with filter,7.5 liters with filter || 7.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|740i|44,oil_capacity,7.5 liters with filter,7.5 liters with filter || 7.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|750il|54,oil_capacity,8.0 liters with filter,8.0 liters with filter || 8.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|m5|5,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|m|32,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|x5|44,oil_capacity,8.0 liters with filter,8.0 liters with filter || 8.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|z3|25,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|z3|3,oil_capacity,6.5 liters with filter,6.5 liters with filter || 6.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|bmw|z8|5,oil_capacity,7.5 liters with filter,7.5 liters with filter || 7.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|buick|century|31,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|buick|lesabre|38,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|buick|parkavenue|38,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|buick|regal|38,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|cadillac|catera|3,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|cadillac|deville|46,oil_capacity,7.1 liters with filter,7.1 liters with filter || 7.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|cadillac|eldorado|46,oil_capacity,7.1 liters with filter,7.1 liters with filter || 7.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|cadillac|escalade|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|cadillac|seville|46,oil_capacity,7.1 liters with filter,7.1 liters with filter || 7.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|astrovan|43,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|c2500|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|c2500|diesel65,oil_capacity,6.6 liters with filter,6.6 liters with filter || 7 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|c3500hd|65,oil_capacity,7.6 liters with filter,7.6 liters with filter || 8 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|c3500|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|c3500|diesel65,oil_capacity,7.6 liters with filter,7.6 liters with filter || 8 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|express2500|43,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|express2500|5,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|express2500|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|express2500|diesel65,oil_capacity,7.6 liters with filter,7.6 liters with filter || 8 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|express3500|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|express3500|diesel65,oil_capacity,7.6 liters with filter,7.6 liters with filter || 8 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|g1500|43,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|g1500|5,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|g1500|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|k2500|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|k2500|diesel65,oil_capacity,7.6 liters with filter,7.6 liters with filter || 8 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|k3500|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|k3500|diesel65,oil_capacity,7.6 liters with filter,7.6 liters with filter || 8 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|s10|22,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|s10|43,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|silverado1500|43,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|silverado1500|48,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|silverado1500|53,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|silverado2500|53,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|silverado2500|6,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|sseriesblazer|43,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|suburban|53,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|suburban|6,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|tahoe|48,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|tahoe|53,oil_capacity,5.7 liters with filter,5.7 liters with filter || 6 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|tahoe|57,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|tracker|16,oil_capacity,4.2 liters with filter,4.2 liters with filter || 4.4 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolettrucks|tracker|2,oil_capacity,5.2 liters with filter,5.2 liters with filter || 5.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|camaro|38,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|camaro|57,oil_capacity,5.2 liters with filter,5.2 liters with filter || 5.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|cavalier|22,oil_capacity,3.8 liters with filter,3.8 liters with filter || 4 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|cavalier|24,oil_capacity,3.8 liters with filter,3.8 liters with filter || 4 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|corvette|57,oil_capacity,6.1 liters with filter,6.1 liters with filter || 6.4 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|impala|34,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|impala|38,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|lumina|31,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|malibu|31,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|metro|1,oil_capacity,3.3 liters with filter,3.3 liters with filter || 3.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|metro|13,oil_capacity,3.3 liters with filter,3.3 liters with filter || 3.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|montecarlo|34,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|montecarlo|38,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|prizm|18,oil_capacity,3.7 liters with filter,3.7 liters with filter || 3.9 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chevrolet|venture|34,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|300m|35,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|cirrus|2,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|cirrus|24,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|cirrus|25,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|concorde|27,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|concorde|32,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|grandvoyager|3,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|grandvoyager|33,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|intrepid|27,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|intrepid|32,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|intrepid|35,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|lhs|35,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|neon|2,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|sebring|25,oil_capacity,4.3 liters with filter,4.3 liters with filter || 4.5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|townandcountry|33,oil_capacity,4.0 liters with filter,4.0 liters with filter || 4.2 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|townandcountry|38,oil_capacity,4.0 liters with filter,4.0 liters with filter || 4.2 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|voyager|24,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|voyager|3,oil_capacity,4.0 liters with filter,4.0 liters with filter || 4.2 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|chrysler|voyager|33,oil_capacity,4.0 liters with filter,4.0 liters with filter || 4.2 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|daewoo|lanos|16,oil_capacity,3.8 liters with filter,3.8 liters with filter || 4 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|daewoo|leganza|22,oil_capacity,4.0 liters with filter,4.0 liters with filter || 4.2 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|daewoo|nubira|2,oil_capacity,4.0 liters with filter,4.0 liters with filter || 4.2 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|dodgetrucks|b1500|39,oil_capacity,3.8 liters with filter,3.8 liters with filter || 4 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|dodgetrucks|b1500|52,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|dodgetrucks|b1500|59,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|dodgetrucks|b250|52,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|dodgetrucks|b250|59,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
2000|dodgetrucks|b3500|52,oil_capacity,4.7 liters with filter,4.7 liters with filter || 5 qts. with filter,fulloilandfilter2022to2027;autolubespecsYmm.xlsx;yearmakemodel.json;completevehiclelist.xlsx-Sheet1.csv
